"N","M","method","run","peak_ram_mib"
1000,2,"2-COL-CC",1,212
1000,2,"2-COL-CC HEAP",1,204.4296875
1000,2,"2-COL-CC",2,211.99609375
1000,2,"2-COL-CC HEAP",2,204.3125
2000,2,"2-COL-CC",1,234.95703125
2000,2,"2-COL-CC HEAP",1,204.640625
2000,2,"2-COL-CC",2,234.91796875
2000,2,"2-COL-CC HEAP",2,204.4765625
3000,2,"2-COL-CC",1,273.1484375
3000,2,"2-COL-CC HEAP",1,204.6640625
3000,2,"2-COL-CC",2,273.23828125
3000,2,"2-COL-CC HEAP",2,204.57421875
4000,2,"2-COL-CC",1,326.61328125
4000,2,"2-COL-CC HEAP",1,204.77734375
4000,2,"2-COL-CC",2,326.65625
4000,2,"2-COL-CC HEAP",2,204.85546875
5000,2,"2-COL-CC",1,395.34375
5000,2,"2-COL-CC HEAP",1,205
5000,2,"2-COL-CC",2,395.3359375
5000,2,"2-COL-CC HEAP",2,204.98828125
6000,2,"2-COL-CC",1,479.51953125
6000,2,"2-COL-CC HEAP",1,204.984375
6000,2,"2-COL-CC",2,479.3828125
6000,2,"2-COL-CC HEAP",2,205.04296875
7000,2,"2-COL-CC",1,578.67578125
7000,2,"2-COL-CC HEAP",1,205.1328125
7000,2,"2-COL-CC",2,578.765625
7000,2,"2-COL-CC HEAP",2,205.12109375
8000,2,"2-COL-CC",1,693.296875
8000,2,"2-COL-CC HEAP",1,205.359375
8000,2,"2-COL-CC",2,693.29296875
8000,2,"2-COL-CC HEAP",2,205.20703125
9000,2,"2-COL-CC",1,823.08203125
9000,2,"2-COL-CC HEAP",1,205.453125
9000,2,"2-COL-CC",2,823.08203125
9000,2,"2-COL-CC HEAP",2,205.453125
10000,2,"2-COL-CC",1,967.9140625
10000,2,"2-COL-CC HEAP",1,205.65625
10000,2,"2-COL-CC",2,967.91796875
10000,2,"2-COL-CC HEAP",2,205.60546875
