"N","M","method","run","elapsed_sec"
1000,2,"2-COL-CC",1,0.0390000000000015
1000,2,"gurobi",1,0.283000000000001
1000,2,"2-COL-CC",2,0.0449999999999982
1000,2,"gurobi",2,0.436000000000003
1000,2,"2-COL-CC",3,0.0380000000000003
1000,2,"gurobi",3,0.506999999999998
1000,2,"2-COL-CC",4,0.0360000000000014
1000,2,"gurobi",4,0.193999999999999
1000,2,"2-COL-CC",5,0.0380000000000003
1000,2,"gurobi",5,0.350999999999999
1000,2,"2-COL-CC",6,0.036999999999999
1000,2,"gurobi",6,0.330000000000002
1000,2,"2-COL-CC",7,0.0380000000000003
1000,2,"gurobi",7,0.0919999999999987
1000,2,"2-COL-CC",8,0.0360000000000014
1000,2,"gurobi",8,0.346999999999998
1000,2,"2-COL-CC",9,0.0380000000000003
1000,2,"gurobi",9,0.297999999999998
1000,2,"2-COL-CC",10,0.0380000000000003
1000,2,"gurobi",10,0.240000000000002
2000,2,"2-COL-CC",1,0.163
2000,2,"gurobi",1,2.095
2000,2,"2-COL-CC",2,0.158999999999999
2000,2,"gurobi",2,0.850000000000001
2000,2,"2-COL-CC",3,0.155000000000001
2000,2,"gurobi",3,0.522999999999996
2000,2,"2-COL-CC",4,0.149000000000001
2000,2,"gurobi",4,0.734000000000002
2000,2,"2-COL-CC",5,0.157000000000004
2000,2,"gurobi",5,0.690000000000005
2000,2,"2-COL-CC",6,0.154000000000003
2000,2,"gurobi",6,0.433
2000,2,"2-COL-CC",7,0.152000000000001
2000,2,"gurobi",7,1.293
2000,2,"2-COL-CC",8,0.158000000000001
2000,2,"gurobi",8,1.593
2000,2,"2-COL-CC",9,0.159000000000006
2000,2,"gurobi",9,1.447
2000,2,"2-COL-CC",10,0.18
2000,2,"gurobi",10,0.612000000000002
3000,2,"2-COL-CC",1,0.378
3000,2,"gurobi",1,3.687
3000,2,"2-COL-CC",2,0.378
3000,2,"gurobi",2,2.54000000000001
3000,2,"2-COL-CC",3,0.376999999999995
3000,2,"gurobi",3,4.158
3000,2,"2-COL-CC",4,0.375999999999998
3000,2,"gurobi",4,1.89
3000,2,"2-COL-CC",5,0.383000000000003
3000,2,"gurobi",5,3.525
3000,2,"2-COL-CC",6,0.379999999999995
3000,2,"gurobi",6,2.605
3000,2,"2-COL-CC",7,0.373000000000005
3000,2,"gurobi",7,2.556
3000,2,"2-COL-CC",8,0.376999999999995
3000,2,"gurobi",8,3.59699999999999
3000,2,"2-COL-CC",9,0.375999999999991
3000,2,"gurobi",9,2.459
3000,2,"2-COL-CC",10,0.373999999999995
3000,2,"gurobi",10,1.93899999999999
4000,2,"2-COL-CC",1,0.693000000000012
4000,2,"gurobi",1,7.524
4000,2,"2-COL-CC",2,0.694000000000003
4000,2,"gurobi",2,4.17100000000001
4000,2,"2-COL-CC",3,0.689999999999998
4000,2,"gurobi",3,7.039
4000,2,"2-COL-CC",4,0.703000000000003
4000,2,"gurobi",4,5.996
4000,2,"2-COL-CC",5,0.691000000000003
4000,2,"gurobi",5,4.51199999999999
4000,2,"2-COL-CC",6,0.686999999999998
4000,2,"gurobi",6,8.086
4000,2,"2-COL-CC",7,0.688999999999993
4000,2,"gurobi",7,8.42200000000001
4000,2,"2-COL-CC",8,0.686999999999983
4000,2,"gurobi",8,3.24299999999999
4000,2,"2-COL-CC",9,0.693000000000012
4000,2,"gurobi",9,5.35499999999999
4000,2,"2-COL-CC",10,0.686999999999983
4000,2,"gurobi",10,2.77800000000002
5000,2,"2-COL-CC",1,1.107
5000,2,"gurobi",1,7.405
5000,2,"2-COL-CC",2,1.107
5000,2,"gurobi",2,21.005
5000,2,"2-COL-CC",3,1.13499999999999
5000,2,"gurobi",3,8.29299999999998
5000,2,"2-COL-CC",4,1.11799999999999
5000,2,"gurobi",4,8.827
5000,2,"2-COL-CC",5,1.10399999999998
5000,2,"gurobi",5,8.661
5000,2,"2-COL-CC",6,1.11199999999999
5000,2,"gurobi",6,1.98400000000001
5000,2,"2-COL-CC",7,1.12199999999999
5000,2,"gurobi",7,9.489
