"N","M","method","run","elapsed_sec"
5000,2,"2-COL-CC",8,1.101
5000,2,"gurobi",8,12.797
5000,2,"2-COL-CC",9,1.108
5000,2,"gurobi",9,13.341
5000,2,"2-COL-CC",10,1.12599999999998
5000,2,"gurobi",10,2.63
6000,2,"2-COL-CC",1,1.64499999999998
6000,2,"gurobi",1,10.758
6000,2,"2-COL-CC",2,1.63499999999999
6000,2,"gurobi",2,32.475
6000,2,"2-COL-CC",3,1.63200000000001
6000,2,"gurobi",3,23.618
6000,2,"2-COL-CC",4,1.63899999999995
6000,2,"gurobi",4,5.19099999999997
6000,2,"2-COL-CC",5,1.62700000000001
6000,2,"gurobi",5,9.53399999999999
6000,2,"2-COL-CC",6,1.63400000000001
6000,2,"gurobi",6,13.572
6000,2,"2-COL-CC",7,1.64099999999996
6000,2,"gurobi",7,7.60900000000004
6000,2,"2-COL-CC",8,1.661
6000,2,"gurobi",8,11.306
6000,2,"2-COL-CC",9,1.63900000000001
6000,2,"gurobi",9,4.07399999999996
6000,2,"2-COL-CC",10,1.62299999999999
6000,2,"gurobi",10,15.154
7000,2,"2-COL-CC",1,2.25800000000004
7000,2,"gurobi",1,20.341
7000,2,"2-COL-CC",2,2.28300000000002
7000,2,"gurobi",2,13.571
7000,2,"2-COL-CC",3,2.24000000000001
7000,2,"gurobi",3,19.986
7000,2,"2-COL-CC",4,2.28400000000005
7000,2,"gurobi",4,3.80000000000001
7000,2,"2-COL-CC",5,2.25299999999999
7000,2,"gurobi",5,9.79199999999997
7000,2,"2-COL-CC",6,2.286
7000,2,"gurobi",6,3.64500000000004
7000,2,"2-COL-CC",7,2.24400000000003
7000,2,"gurobi",7,6.19900000000001
7000,2,"2-COL-CC",8,2.25200000000001
7000,2,"gurobi",8,24.1080000000001
7000,2,"2-COL-CC",9,2.255
7000,2,"gurobi",9,15.39
7000,2,"2-COL-CC",10,2.26100000000008
7000,2,"gurobi",10,22.278
8000,2,"2-COL-CC",1,3.01099999999997
8000,2,"gurobi",1,24.3920000000001
8000,2,"2-COL-CC",2,3.04999999999995
8000,2,"gurobi",2,23.261
8000,2,"2-COL-CC",3,3.00800000000004
8000,2,"gurobi",3,20.221
8000,2,"2-COL-CC",4,2.995
8000,2,"gurobi",4,12.8720000000001
8000,2,"2-COL-CC",5,3.03499999999997
8000,2,"gurobi",5,42.384
8000,2,"2-COL-CC",6,2.97199999999998
8000,2,"gurobi",6,9.60400000000004
8000,2,"2-COL-CC",7,2.97699999999998
8000,2,"gurobi",7,27.519
8000,2,"2-COL-CC",8,2.98899999999992
8000,2,"gurobi",8,26.8779999999999
8000,2,"2-COL-CC",9,2.97300000000007
8000,2,"gurobi",9,38.414
8000,2,"2-COL-CC",10,2.99700000000007
8000,2,"gurobi",10,15.862
9000,2,"2-COL-CC",1,3.78899999999999
9000,2,"gurobi",1,59.761
9000,2,"2-COL-CC",2,3.83999999999992
9000,2,"gurobi",2,24.588
9000,2,"2-COL-CC",3,3.827
9000,2,"gurobi",3,34.961
9000,2,"2-COL-CC",4,3.82999999999993
9000,2,"gurobi",4,11.6900000000001
9000,2,"2-COL-CC",5,3.86300000000006
9000,2,"gurobi",5,43.866
9000,2,"2-COL-CC",6,3.88400000000001
9000,2,"gurobi",6,14.7079999999999
9000,2,"2-COL-CC",7,3.84100000000012
9000,2,"gurobi",7,38.883
9000,2,"2-COL-CC",8,4.34799999999996
9000,2,"gurobi",8,30.431
9000,2,"2-COL-CC",9,3.8159999999998
9000,2,"gurobi",9,35.903
9000,2,"2-COL-CC",10,3.82000000000016
9000,2,"gurobi",10,54.6030000000001
10000,2,"2-COL-CC",1,4.74099999999999
10000,2,"gurobi",1,22.7439999999999
10000,2,"2-COL-CC",2,4.80700000000002
10000,2,"gurobi",2,30.9070000000002
10000,2,"2-COL-CC",3,4.78599999999983
10000,2,"gurobi",3,75.2510000000002
10000,2,"2-COL-CC",4,4.75700000000006
10000,2,"gurobi",4,30.0419999999999
10000,2,"2-COL-CC",5,4.76900000000001
10000,2,"gurobi",5,46.6179999999999
10000,2,"2-COL-CC",6,4.80600000000004
10000,2,"gurobi",6,63.6210000000001
10000,2,"2-COL-CC",7,4.82600000000002
10000,2,"gurobi",7,43.5530000000001
10000,2,"2-COL-CC",8,4.78700000000003
10000,2,"gurobi",8,89.7429999999999
10000,2,"2-COL-CC",9,4.97199999999998
10000,2,"gurobi",9,72.231
10000,2,"2-COL-CC",10,4.78800000000001
10000,2,"gurobi",10,48.634
